Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
India,IND,"Internally displaced persons, total displaced by conflict and violence (number of people)",VC.IDP.TOCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000,650000,650000,1000000,526000,854000,612000,796000,806000,479000,470000,473000,506000
India,IND,Travel services (% of commercial service exports),TX.VAL.TRVL.ZS.WT,,,,,,,,,,,,,,,,27.38565911,29.94523239,41.82193934,45.92425532,44.619402,54.24107393,48.51933685,42.0654867,37.00738595,23.5124677,27.40651118,36.88374387,41.11622001,37.82870289,35.40294648,33.80768063,37.54094335,46.90719379,42.88644718,37.67289311,38.16992133,39.43801302,32.3771334,26.64257619,21.48806371,21.58189629,19.03714516,16.22027781,18.8832971,16.34448444,14.45079782,12.48288028,12.44211352,11.19734832,12.04083511,12.42864333,12.83755429,12.39164273,12.371686,12.57876306,13.49411941,13.90980728,14.81815161,13.98202387,14.34676376,6.437810092,3.606468888
India,IND,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,,,,,,,,,,,,,,,,719431435.7,954399067.1,1234259451,1496041252,1989156895,2861008079,2635210103,2828422272,3166884008,3127603094,3274386967,3135796919,3265849102,3718831247,4092077281,4609502443,4905450698,4893301119,5034394495,6031261039,6763272430,7179007360,8925527196,11066917256,14005992418,16031394226,16799112202,19125314435,23632701560,37747867269,51850802483,69165839663,86235067783,1.05669E+11,92484320177,1.16583E+11,1.37935E+11,1.45029E+11,1.48703E+11,1.56614E+11,1.55717E+11,1.61234E+11,1.84673E+11,2.04323E+11,2.14128E+11,2.02492E+11,2.39854E+11
India,IND,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1313500000,1382400000,1389400000,1576300000,1691700000,1651500000,1599400000,1605400000,1747500000,1828350000,2024110000,2108940000,2437720000,2957970000,3891340000,4364030000,5017900000,6024090000,6625450000,7678440000,8440100000,6826390000,8271359993,7857421481,8230249870,8265208692,9135050552,10797330556,13191867383,15835741000,17811164694,17870183000,19229717290,20987424487,24192531185,30534380000,32322363009,34622075000,33665150000,35921625000,42463550028,43182526449,50333488255,60931347168,75045790278,97898456738,1.20156E+11,1.53349E+11,1.95055E+11,1.65188E+11,2.22907E+11,3.07044E+11,2.97197E+11,3.1509E+11,3.17719E+11,2.66163E+11,2.61862E+11,2.96212E+11,3.23269E+11,3.24863E+11,2.756E+11,
India,IND,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,3.989341454,3.949652778,4.073700878,3.774662184,3.753620618,5.292158644,4.8893335,4.484863585,4.377682403,5.441518309,6.346987071,4.763530494,4.480005907,3.401995287,8.419207779,13.5397786,7.448932821,6.294062672,5.327939989,4.602236913,4.541415386,5.140345043,3.256110722,4.581777488,3.690562883,3.202083922,1.944000291,1.878747778,1.7163528,0.842170884,1.868941909,2.355711746,3.964787166,3.963963311,1.813908261,1.666056426,2.244465058,2.135848299,2.332753604,2.177309629,2.50308795,3.342766898,3.569228878,3.690291933,3.915521943,3.614789917,4.040642526,4.311277688,4.170891649,4.077740846,3.772996149,3.236455642,3.98391063,4.485822917,4.403230544,3.678743135,3.290251961,3.197935938,3.663654727,4.079593552,3.387545042,
India,IND,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,14.64027408,14.63396991,14.22916367,11.79344033,11.5859786,12.26763548,11.44804302,10.75121465,11.02718169,12.55777067,14.92507818,15.11185714,12.16341499,9.607264441,16.62897614,22.30163404,15.66930389,13.72522655,14.23359923,13.22091466,12.99463277,13.69186349,9.895814686,9.855541119,7.935891802,7.0236515,6.029656095,5.920059793,6.106484091,4.976735853,6.663320222,9.233749873,14.28923813,16.12057894,14.50602134,16.65709276,17.64267571,17.97393715,16.52406123,16.39472045,17.57360141,20.08434867,22.16926348,22.76353056,24.1365461,24.69522692,26.36483205,28.20493671,26.60779649,26.55850702,29.49500831,26.99754874,28.79991551,29.9108277,31.35162853,28.49565082,27.26077746,28.41860897,29.446461,30.62918523,32.59631961,
India,IND,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,6.763693042,7.902005457,8.726658654,8.93538747,10.19462393,9.957806738,10.75090073,10.91784181,11.92384052,9.916199613,8.88709066,7.270339397,8.653007215,12.3389538,10.93416534,8.065779716,7.789900868,6.603382416,7.499693942,5.56209645,5.610430684,5.383246799,5.533747782,7.56691447,5.921077556,5.11446613,6.326904903,6.760153929,5.771539727,5.645976265,4.565636393,4.090233667,3.754396086,3.583126307,3.585217671,3.138386525,2.467235102,2.509433225,2.82941295,2.991032805,4.258727377,3.827161854,5.804850007,7.559816797,8.027593247,7.75049691,6.430190112,6.310705927,7.592408212,3.914322684,3.443268848,3.080619736,3.163439022,3.377417629,3.159231714,4.009647909,3.533696694,3.5408799,4.703645381,4.826799966
India,IND,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,0.978182032,1.016112754,1.353886564,1.193326706,1.170544125,0.835056662,0.902340645,0.777187343,0.834097593,0.536376283,0.650747479,1.336396879,0.667233602,0.888840753,0.662988705,0.562178813,0.386469356,0.28057545,0.431298828,0.427624302,14.81376377,16.32822666,15.57428849,6.038179074,3.362514146,4.210410493,2.570707912,2.641902737,2.925310777,2.366546492,2.833973277,2.230464747,1.948446019,1.657738682,1.545232057,1.136236457,0.425308278,0.247356545,3.405619777,4.894513618,4.645977677,6.100975448,8.067957165,10.46015835,14.85429911,16.18956761,18.06488932,13.58640515,17.22965525,18.75854661,18.77889361,20.66688957,19.63407462,11.87191272,10.64219206,12.18594674,15.06745095,13.77635017,10.03069291,14.28465927
India,IND,Export volume index (2000 = 100),TX.QTY.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,21.1029225,21.50982741,23.49069354,22.96318792,23.23104971,22.00621915,22.63080209,26.92828858,26.02194153,30.44802188,35.04186211,35.75120663,39.58451656,45.44755846,51.79167039,66.92208486,75.84097375,70.60393398,73.73772741,83.32738945,100,108.5010192,126.5265908,133.9342968,155.4895162,189.0376367,211.2888605,242.0693463,283.2109767,266.353924,334.7927756,384.8991163,377.9327519,409.8935616,430.5880027,422.4718463,433.8780597,460.6625876,478.6580053,493.0524064,435.734864,
India,IND,Transport services (% of commercial service imports),TM.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,72.22921114,64.95604719,64.40551918,66.79180983,63.85501977,61.34786057,61.12541056,61.80914055,57.64368704,59.37996283,58.32299641,56.44965319,56.22661017,58.61084517,57.49758108,57.5196443,55.93254711,60.55196431,62.55991034,56.83307194,56.67847951,58.60750875,55.4951881,49.98067904,40.94713691,46.33161554,43.60541927,43.43563146,38.97037028,38.53356677,44.72548776,43.34752918,44.82297367,25.84183413,21.20201571,18.27314438,19.99067884,19.82641369,18.04265971,20.43436137,18.86535504,14.8091525,15.04543534,16.28251922,18.51180034,17.29393933,22.23315601
